day,run,runDay,balance,totalLifetimeEarned,totalSpent,slots,redeemablePrestige,lifetimePrestige,claimedPrestige,cachePoints,cacheCoreLevel,cacheCoreMultiplier,prestigeCount,prestigeAward,vaultStored,focusIncome,backgroundIncome,vaultAccrued,vaultClaimed,dailyBonus,navigation,wake
1,1,1,246.07873827809908,28613.078738278098,28367,5,0,0,0,0,0,1,0,0,0,16256.811580484264,1297.4346308519996,4135.07149908145,4135.07149908145,3615.5951999999997,3146.3810987764855,161.78472908389463
2,1,2,239.74168587503664,169329.74168587528,169090,5,1,1,0,0,0,1,0,0,0,77402.7963141092,12439.362467620447,21292.464552535712,21292.464552535712,12318.393988606495,15182.77727410206,2080.868350623024
3,1,3,1728.064425697652,535794.0644256982,534066,6,2,2,0,0,0,1,0,0,0,174643.17096250464,39714.518827963504,60481.32389910666,60481.32389910666,50102.99319164845,35233.78816387537,6288.527694723972
4,1,4,6568.192893659681,1370610.1928936576,1364042,6,3,3,0,0,0,1,0,0,0,397343.1634355121,102102.16646966923,149440.8327925384,149440.8327925384,89569.60494435496,81517.92400424383,14842.436821643136
5,1,5,8714.743283211428,2929660.743283214,2920946,6,5,5,0,0,0,1,0,0,0,718917.6053666348,198398.75656716124,307862.9560830912,307862.9560830912,153387.83346468312,154364.4783999447,26118.920508037285
6,1,6,0,5532532.865223433,5506520,3,7,7,7,0,1,1.5,1,7,0,1145619.0999544547,336778.96775841893,583043.1002480434,583043.1002480434,241134.84853109258,254464.96038754444,41831.14506065374
7,2,1,22.23003618407529,5600971.095259613,5574936,5,7,7,7,0,1,1.5,1,0,0,39093.7003513323,4737.608440194354,10531.195391390178,10531.195391390178,5965.1928,7418.9908194115715,691.5422338556677
8,2,2,1784.8933334836183,6090651.758556911,6062854,6,7,7,7,0,1,1.5,1,0,0,258621.08288168194,53011.91554935743,76379.56220385744,76379.56220385744,41072.184631419965,51935.05277190022,8660.865259082533
9,2,3,15989.53436896723,7719840.399592402,7677838,6,8,8,7,0,1,1.5,1,0,0,799411.7187866071,212046.9486689996,286508.72797607706,286508.72797607706,141942.8205537523,160185.8311174705,29092.593932576914
10,2,4,39666.90269400447,11465554.767917445,11399875,6,10,10,7,0,1,1.5,1,0,0,1706369.1041114964,498964.9128707477,791984.8661890675,791984.8661890675,324516.02789675974,360935.7963619703,62943.66089499697
11,2,5,4962.07379663107,18432381.939020075,18401407,6,13,13,7,0,1,1.5,1,0,0,3062067.0557763474,946813.6716660219,1598854.1131479538,1598854.1131479538,596054.1579907463,653812.997148482,109225.17537307666
12,2,6,37479.07043368532,29059208.93565712,28995717,7,17,17,7,0,1,1.5,1,0,0,4203336.650273786,1579360.5959465392,2725886.1762654996,2725886.1762654996,1034874.1513786205,914248.7192646918,169120.70350791424
13,2,7,20090.545578042977,44868482.410801455,44822379,7,21,21,7,0,1,1.5,1,0,0,6004274.90747178,2382123.8528517787,4463858.293896094,4463858.293896094,1389754.1615938686,1329829.0527976602,239433.20653317828
14,2,8,130305.32051832788,66664531.18574177,66508213,7,25,25,7,0,1,1.5,1,0,0,7977892.3353744075,3266756.651537977,6570450.801824913,6570450.801824913,1832137.2890502296,1834810.7862454748,314000.9109072769
