day,run,runDay,balance,totalLifetimeEarned,totalSpent,slots,redeemablePrestige,lifetimePrestige,claimedPrestige,cachePoints,cacheCoreLevel,cacheCoreMultiplier,prestigeCount,prestigeAward,vaultStored,focusIncome,backgroundIncome,vaultAccrued,vaultClaimed,dailyBonus,navigation,wake
1,1,1,18.333033807493848,14210.333033807485,14192,5,0,0,0,0,0,1,0,0,0,5954.636610109272,598.4361332125918,3062.0323475291184,3062.0323475291184,2592.858324,1890.8414283125114,111.52819064399998
2,1,2,486.85183729572236,77596.85183729572,77110,5,0,0,0,0,0,1,0,0,0,21060.680133962043,8784.905202543616,11265.19526592262,11265.19526592262,9374.784592970496,10364.462906903926,2536.4907011855257
3,1,3,483.68073589332926,302590.68073589343,302107,6,1,1,0,0,0,1,0,0,0,57961.88025453467,45096.75269241956,31520.117341621637,31520.117341621637,46629.69843892954,32724.426511826456,11060.953659265719
4,1,4,6789.985502781987,1137215.985502782,1130426,6,3,3,0,0,0,1,0,0,0,200656.672977,235259.69113668628,114991.69742278814,114991.69742278814,111941.98766969648,130320.0055828626,41455.24997785522
5,1,5,21959.24621694442,3919146.246216944,3897187,6,6,6,0,0,0,1,0,0,0,643238.0629464108,877335.7152056555,360810.0223229816,360810.0223229816,330335.5571470515,456189.059795102,114021.84329696055
6,1,6,0,10370577.676882122,10330814,3,10,10,10,0,1,1.5,1,10,0,1293232.0733228961,2152355.494357405,795212.7847157717,795212.7847157717,1011098.854540566,964364.3489488754,235167.87477964754
7,2,1,174.96192441102357,10405450.638806531,10365512,5,10,10,10,0,1,1.5,1,0,0,13385.305313038081,2004.6054688857294,6653.3554004936095,6653.3554004936095,7440.3695384928,4786.342211716135,602.9839917846715
8,2,2,116.68379401465063,10694354.360676115,10654474,6,10,10,10,0,1,1.5,1,0,0,87853.82468719025,65112.63139752995,39906.411665369844,39906.411665369844,38920.236724385366,42390.73818849239,14719.879206635786
9,2,3,5343.264266609913,12584246.94114871,12539140,6,11,11,10,0,1,1.5,1,0,0,487129.3913189817,593051.736852508,242524.4320481978,242524.4320481978,175247.86521297222,296139.6091792721,95799.5458606632
10,2,4,35325.94367333548,19907325.6205554,19832236,7,14,14,10,0,1,1.5,1,0,0,1609502.417571441,2625526.1215610616,925778.8753896415,925778.8753896415,883394.4791784033,982929.2961665029,295947.48953967355
11,2,5,161419.9322974775,43804070.609179534,43602887,7,20,20,10,0,1,1.5,1,0,0,5055531.08548973,9043830.65982114,3036357.7802345795,3036357.7802345795,2485052.2722353977,3465758.9722693674,810214.2185739323
12,2,6,524703.2087890022,111267295.885671,110702829,7,33,33,10,0,1,1.5,1,0,0,14426750.389076209,24844123.98971038,9389661.21330672,9389661.21330672,6821889.10690944,10143226.780729033,1837573.79675974
13,2,7,1673.4431425184011,256994283.12002447,256952846,8,50,50,10,0,1,1.5,1,0,0,31229415.563368496,53191290.338509694,20231128.75001518,20231128.75001518,14747687.24485302,22976967.849207953,3350497.4883991964
14,2,8,0,501157131.00424814,499377606,3,70,70,70,0,4,5.0625,2,60,0,47504648.778377935,92661596.60896292,37608477.20601922,37608477.20601922,26281763.564730596,34867517.61445244,5238844.111679348
15,3,1,2142.269198935246,501718679.2734473,499937012,6,70,70,70,0,4,5.0625,2,0,0,186437.79167519748,128527.79276201712,79867.54054105232,79867.54054105232,55385.800394402344,80003.6404911855,31325.703335080507
16,3,2,16674.538485953584,530453897.54273456,528657698,7,72,72,70,0,4,5.0625,2,0,0,7196570.581291423,12155092.557977518,3234695.7652604524,3234695.7652604524,1230062.8973196042,3607261.2659945353,1311535.2014434761
17,3,3,147165.11716903746,809822468.1214161,807895778,8,89,89,70,0,4,5.0625,2,0,0,61774995.9089322,124713038.85050273,37028966.97403779,37028966.97403779,17814620.6903328,29279725.63422126,8757222.520656306
18,3,4,2277748.150428891,2517243493.1546736,2513186220,8,158,158,70,0,4,5.0625,2,0,0,397581474.1362372,730359222.7297643,277944593.92025244,277944593.92025244,85329842.75352003,179134421.025646,37071470.46784002
19,3,5,2623775.489387989,8525778561.493625,8521375261,9,291,291,70,0,4,5.0625,2,0,0,1445579953.3286357,2383812127.8227158,1118813238.9170084,1118813238.9170084,321991566.6900023,639521578.3551219,98816603.22547533
20,3,6,4699038.502958775,21205032169.507175,21198553606,9,460,460,70,0,4,5.0625,2,0,0,2869576305.656102,5007410910.146999,2629433170.655966,2629433170.655966,757033972.2209098,1233413125.1886997,182386124.1448942
21,3,7,175050808.24692726,47886854031.25116,47710023698,9,692,692,70,0,4,5.0625,2,0,0,6169463621.390968,9893428932.451956,5985330446.36768,5985330446.36768,1626197625.0843308,2685629026.5111537,321772209.9378782
