day,run,runDay,balance,totalLifetimeEarned,totalSpent,slots,redeemablePrestige,lifetimePrestige,claimedPrestige,cachePoints,cacheCoreLevel,cacheCoreMultiplier,prestigeCount,prestigeAward,vaultStored,focusIncome,backgroundIncome,vaultAccrued,vaultClaimed,dailyBonus,navigation,wake
1,1,1,137.00862490925465,20962.008624909253,20825,5,0,0,0,0,0,1,0,0,0,10872.478483059476,435.1699596736742,3403.8803017977107,3403.8803017977107,4407.844439049576,1842.635441328821,0
2,1,2,710.4824322032946,172276.48243220337,171566,5,1,1,0,0,0,1,0,0,0,78925.9459141994,20245.5899008083,19026.591618083658,19026.591618083658,12320.683217978629,15454.231006527527,5341.432149696478
3,1,3,1732.4217142377165,835272.4217142372,833540,6,2,2,0,0,0,1,0,0,0,285301.7570466414,145086.12070231765,80193.63713226002,80193.63713226002,66248.39645064958,57700.18816854089,28465.839781624865
4,1,4,375.8244867156027,3212971.8244867185,3212596,6,5,5,0,0,0,1,0,0,0,973391.2764211228,673666.8079899496,282057.12045365793,282057.12045365793,158029.9112446315,195947.40696723753,94606.87969587855
5,1,5,14215.271125454456,8479175.27112546,8464960,7,9,9,0,0,0,1,0,0,0,1851036.0622227748,1727651.648455551,688128.8702784884,688128.8702784884,418454.82393241045,383467.24458067905,197464.79716883527
6,1,6,0,19219472.068821065,19149902,3,13,13,13,0,2,2.25,1,13,0,3501341.637649349,3971848.920999431,1449039.5401829516,1449039.5401829516,669813.3321721664,767759.0957942298,380494.2708974707
7,2,1,163.84920952783068,19276025.91803057,19206292,5,13,13,13,0,2,2.25,1,0,0,31400.357553700876,2744.247126584565,9842.929576540464,9842.929576540464,6331.5,5298.602965457301,936.2119872446216
8,2,2,4029.8286985442974,20346483.89751958,20272884,6,14,14,13,0,2,2.25,1,0,0,479185.4170682472,240508.15034910943,131418.28756774194,131418.28756774194,76274.64476096354,95130.82842798355,47940.65131497093
9,2,3,8874.678458285052,26476500.74727935,26398056,7,16,16,13,0,2,2.25,1,0,0,2244941.4810381914,1969214.4800571331,780316.3239688571,780316.3239688571,448324.1887610191,440810.0802448701,246410.29568967046
10,2,4,176606.59744573385,56618841.666266814,56372665,7,23,23,13,0,2,2.25,1,0,0,9795032.146262633,11712695.918790875,4172366.9391523506,4172366.9391523506,1425815.879881193,2011244.4917589026,1025185.5431414965
11,2,5,201591.3131841272,147490737.3820054,147219576,7,38,38,13,0,2,2.25,1,0,0,26195486.267748453,37135829.94490297,15348557.162167836,15348557.162167836,3983691.5904697375,5564970.793807371,2643359.9566420265
12,2,6,385395.22142197937,331795845.2902432,331340880,8,57,57,13,0,2,2.25,1,0,0,46382184.71629568,79360688.21668248,34221248.89184842,34221248.89184842,9451670.145754712,9920772.059898062,4968543.877758505
13,2,7,2323220.6419632286,697554899.7107852,695162109,8,83,83,13,0,2,2.25,1,0,0,88142625.83290814,162146169.85943162,72486851.13315375,72486851.13315375,15225374.256645987,18789111.147806175,8968922.190595575
14,2,8,0,1313902056.12496,1311740768,3,114,114,114,0,6,11.390625,2,101,0,141999515.85902256,273553274.682927,133498600.28971717,133498600.28971717,23011811.94896737,30560586.73005702,13723366.903485393
15,3,1,29650.758626284078,1322274434.8835871,1320083496,7,114,114,114,0,6,11.390625,2,0,0,3467149.499867648,2361178.006609197,917236.49634445,917236.49634445,608269.8965931061,652073.8184949623,366471.04071692127
16,3,2,711285.5901134014,1871083806.7150743,1868211233,8,136,136,114,0,6,11.390625,2,0,0,151503655.83061382,246293508.31969154,93157764.39974308,93157764.39974308,11500473.881655147,29583758.869633865,16770210.530149588
17,3,3,489481.11366939545,7942140799.238638,7939490030,9,281,281,114,0,6,11.390625,2,0,0,1403344140.7830193,2826548880.546713,1351530075.5792003,1351530075.5792003,113678814.97572038,250582181.0609184,125372899.57798404
18,3,4,104385000.65905094,30114201038.784042,30007654750,9,548,548,114,0,6,11.390625,2,0,0,4073660330.247907,10096725690.607803,6540229550.039469,6540229550.039469,400139239.1576103,701820065.4164155,359485364.0761736
19,3,5,325018622.2261009,91114361047.35098,90787181137,9,954,954,114,0,6,11.390625,2,0,0,10252595517.606735,26383083247.38872,20748594886.123764,20748594886.123764,1046940994.6290941,1743729509.7539897,825215853.0647292
20,3,6,162553725.7080307,223075448139.8329,222910733126,9,1493,1493,114,0,6,11.390625,2,0,0,20526639849.52903,54195739247.97221,50198398724.82627,50198398724.82627,2085991659.5452359,3440803362.998699,1513514247.610524
21,3,7,1465451236.101738,452429913399.22675,450962300875,9,2127,2127,114,0,6,11.390625,2,0,0,33452923735.0411,90277277796.11191,94165640274.0371,94165640274.0371,3454669332.081508,5653166902.530826,2350787219.5913377
