day,run,runDay,balance,totalLifetimeEarned,totalSpent,slots,redeemablePrestige,lifetimePrestige,claimedPrestige,cachePoints,cacheCoreLevel,cacheCoreMultiplier,prestigeCount,prestigeAward,vaultStored,focusIncome,backgroundIncome,vaultAccrued,vaultClaimed,dailyBonus,navigation,wake
1,1,1,132.20269292612284,21072.20269292612,20940,5,0,0,0,0,0,1,0,0,0,12515.792262819192,0,2788.978499168908,2788.978499168908,4442.510470372799,818.9075926765081,506.0138678887107
2,1,2,409.0501039916853,174207.05010399173,173798,5,1,1,0,0,0,1,0,0,0,96529.12169940515,11356.081370693739,12509.067243359521,12509.067243359521,14810.428972027916,9161.568783594888,8768.57934198433
3,1,3,630.243312413193,886652.2433124138,886022,6,2,2,0,0,0,1,0,0,0,386277.86388535623,84354.19800547323,57241.516323228694,57241.516323228694,98186.25139965305,45173.79371600593,41211.56987870434
4,1,4,8265.438709531561,3266913.438709533,3258648,6,5,5,0,0,0,1,0,0,0,1206813.741770631,382179.832158505,183673.99070469776,183673.99070469776,303165.63337206905,176878.3466442082,127549.65074700725
5,1,5,24235.19930345309,8611780.199303454,8587545,7,9,9,0,0,0,1,0,0,0,2281440.5859414693,984625.0529740432,438126.27713608433,438126.27713608433,1000620.4928581928,381345.44554973807,258708.90613439473
6,1,6,0,19306150.1024165,19279321,3,13,13,13,0,2,2.25,1,13,0,4479399.584066081,2254359.368616915,902962.2458860035,902962.2458860035,1689639.0049668984,877768.6900361178,490241.00954102754
7,2,1,8.131586377239728,19364395.23400286,19337558,5,13,13,13,0,2,2.25,1,0,0,37896.6755225948,1011.4516729084527,7992.408600668716,7992.408600668716,6331.5,2692.6084275447192,2320.4873626605545
8,2,2,3672.287541051861,20502822.389957502,20472321,6,14,14,13,0,2,2.25,1,0,0,662021.9057439473,147507.79924133513,94610.02662971086,94610.02662971086,92656.96599443757,68828.25064477584,72802.20770046787
9,2,3,1158.515163332224,27293029.617579777,27265042,7,16,16,13,0,2,2.25,1,0,0,3315781.1918408833,1243387.6666271975,575665.7954468684,575665.7954468684,854680.3905787424,413404.09818495915,387288.0849436297
10,2,4,87817.56405864656,53608153.66647502,53493507,7,23,23,13,0,2,2.25,1,0,0,11598600.98017422,6237685.7969117,2489774.0994489267,2489774.0994489267,2788274.893064892,1916563.9628461145,1284224.3164494664
11,2,5,529737.7402198873,129172848.84263603,128616282,7,35,35,13,0,2,2.25,1,0,0,30174217.250646092,18614513.996325932,8084393.1442025965,8084393.1442025965,9494296.735896679,6102078.880757404,3095195.1683325507
12,2,6,237826.77358760685,264081792.87600398,263817137,8,51,51,13,0,2,2.25,1,0,0,46424897.482321784,35735297.41926028,14711740.545794748,14711740.545794748,22191558.193789672,10738394.421354463,5107055.970846825
13,2,7,2074745.5037527755,519366287.6061697,517264713,8,72,72,13,0,2,2.25,1,0,0,84250489.81166969,70675346.28277563,29207334.763012435,29207334.763012435,39548610.45771576,22375184.66537876,9227528.74961288
14,2,8,0,948410674.866337,948336535,3,97,97,97,1,5,7.59375,2,84,0,131907136.37995555,119665105.7262892,55351417.24883651,55351417.24883651,67982597.39880466,40399873.54121024,13738256.965070605
15,3,1,12367.965351982974,954496138.8316886,954409631,7,97,97,97,1,5,7.59375,2,0,0,3676041.6096404707,1064649.5599620522,390464.1314237037,390464.1314237037,192601.69044799672,360209.651097231,401497.3227805303
16,3,2,211801.08133029938,1186160543.9476652,1185874603,8,108,108,97,1,5,7.59375,2,0,0,105220122.20379163,68827025.85074657,21386458.81205873,21386458.81205873,11300048.977003844,13597012.781203985,11333736.491173593
17,3,3,3702505.2463053465,2695720350.1126404,2691943705,8,164,164,97,1,5,7.59375,2,0,0,562115404.670479,513408485.26090294,182752800.50958213,182752800.50958213,97873027.03950582,95237338.3848398,58172750.299665056
18,3,4,11966972.367209196,7909600539.233541,7897559427,8,281,281,97,1,5,7.59375,2,0,0,1725358699.7168612,1803324940.3213198,704345461.551039,704345461.551039,431173422.20462525,381495630.5958782,168182034.73118085
19,3,5,33946721.428379536,19329370759.29471,19295349898,9,439,439,97,1,5,7.59375,2,0,0,3204231608.030271,3917938221.353883,1759240721.3510184,1759240721.3510184,1391886973.6418717,824635486.8101251,321837208.87400186
20,3,6,37261723.00376797,40200566546.87006,40163230684,9,634,634,97,1,5,7.59375,2,0,0,5391673094.487359,7337017913.263291,3365615341.4786987,3365615341.4786987,2559521120.3893085,1679882490.4907665,537485827.4659656
21,3,7,9469414.959794998,74486415495.82614,74476871941,9,863,863,97,1,5,7.59375,2,0,0,8126724624.864523,11631334973.964685,6185463051.826515,6185463051.826515,4538140501.163325,3007953038.9944286,796232758.1425513
