day,run,runDay,balance,totalLifetimeEarned,totalSpent,slots,redeemablePrestige,lifetimePrestige,claimedPrestige,cachePoints,cacheCoreLevel,cacheCoreMultiplier,prestigeCount,prestigeAward,vaultStored,focusIncome,backgroundIncome,vaultAccrued,vaultClaimed,dailyBonus,navigation,wake
1,1,1,137.00862490925465,20962.008624909253,20825,5,0,0,0,0,0,1,0,0,0,10872.478483059476,435.1699596736742,3403.8803017977107,3403.8803017977107,4407.844439049576,1842.635441328821,0
2,1,2,710.4824322032946,172276.48243220337,171566,5,1,1,0,0,0,1,0,0,0,78925.9459141994,20245.5899008083,19026.591618083658,19026.591618083658,12320.683217978629,15454.231006527527,5341.432149696478
3,1,3,1732.4217142377165,835272.4217142372,833540,6,2,2,0,0,0,1,0,0,0,285301.7570466414,145086.12070231765,80193.63713226002,80193.63713226002,66248.39645064958,57700.18816854089,28465.839781624865
4,1,4,375.8244867156027,3212971.8244867185,3212596,6,5,5,0,0,0,1,0,0,0,973391.2764211228,673666.8079899496,282057.12045365793,282057.12045365793,158029.9112446315,195947.40696723753,94606.87969587855
5,1,5,14215.271125454456,8479175.27112546,8464960,7,9,9,0,0,0,1,0,0,0,1851036.0622227748,1727651.648455551,688128.8702784884,688128.8702784884,418454.82393241045,383467.24458067905,197464.79716883527
6,1,6,0,19219472.068821065,19149902,3,13,13,13,0,2,2.25,1,13,0,3501341.637649349,3971848.920999431,1449039.5401829516,1449039.5401829516,669813.3321721664,767759.0957942298,380494.2708974707
7,2,1,163.84920952783068,19276025.91803057,19206292,5,13,13,13,0,2,2.25,1,0,0,31400.357553700876,2744.247126584565,9842.929576540464,9842.929576540464,6331.5,5298.602965457301,936.2119872446216
8,2,2,4029.8286985442974,20346483.89751958,20272884,6,14,14,13,0,2,2.25,1,0,0,479185.4170682472,240508.15034910943,131418.28756774194,131418.28756774194,76274.64476096354,95130.82842798355,47940.65131497093
9,2,3,8874.678458285052,26476500.74727935,26398056,7,16,16,13,0,2,2.25,1,0,0,2244941.4810381914,1969214.4800571331,780316.3239688571,780316.3239688571,448324.1887610191,440810.0802448701,246410.29568967046
10,2,4,176606.59744573385,56618841.666266814,56372665,7,23,23,13,0,2,2.25,1,0,0,9795032.146262633,11712695.918790875,4172366.9391523506,4172366.9391523506,1425815.879881193,2011244.4917589026,1025185.5431414965
11,2,5,201591.3131841272,147490737.3820054,147219576,7,38,38,13,0,2,2.25,1,0,0,26195486.267748453,37135829.94490297,15348557.162167836,15348557.162167836,3983691.5904697375,5564970.793807371,2643359.9566420265
12,2,6,890981.0316449702,331070064.1004664,330109513,8,57,57,13,0,2,2.25,1,0,0,45656403.52651866,79360688.21668248,34221248.89184842,34221248.89184842,9451670.145754712,9920772.059898062,4968543.877758505
13,2,7,2701044.121900201,692016005.1907216,689245391,8,83,83,13,0,2,2.25,1,0,0,83857914.01769133,161634604.9659806,72486851.13315375,72486851.13315375,15225374.256645987,18772274.526188012,8968922.190595575
14,2,8,0,1292927249.460572,1287662321,3,113,113,113,1,6,11.390625,2,100,0,130512828.05768457,270238016.90544474,133120236.22572523,133120236.22572523,23011811.94896737,30382566.00372232,13645785.12830806
15,3,1,2947.7778649087995,1300856160.238437,1295588284,7,114,114,113,1,6,11.390625,2,0,0,3311986.233271202,2143124.005150298,878335.9099139654,878335.9099139654,601395.6068116257,632662.506499947,361406.5162178694
16,3,2,565051.2953441143,1838090028.7559173,1832260049,8,135,135,113,1,6,11.390625,2,0,0,147787519.89853558,239376319.28216907,93157764.39974308,93157764.39974308,11403233.977411956,29036970.16481574,16472060.794803739
17,3,3,15077124.023080826,7690810703.483653,7670468651,9,277,277,113,1,6,11.390625,2,0,0,1244013486.8841271,2776616484.737994,1351530075.5792003,1351530075.5792003,111204285.39756107,247001947.2438375,122354394.88501585
18,3,4,89613032.58709145,27782201285.04766,27687323324,9,527,527,113,1,6,11.390625,2,0,0,3313428253.0303545,9550520294.850838,5818625038.391941,5818625038.391941,396079855.5719534,667983990.6242568,344753149.0946698
19,3,5,311002338.89185715,83154790910.35231,82838523643,9,911,911,113,1,6,11.390625,2,0,0,8003983021.004484,25155862302.73623,18687995254.42213,18687995254.42213,1036325159.3688688,1690576389.2741196,797847498.4989207
20,3,6,538042815.758049,202467451374.21887,201924143630,9,1422,1422,113,1,6,11.390625,2,0,0,14733465948.024063,49372089564.00777,48756123424.68785,48756123424.68785,1861131413.662467,3179451254.390383,1410398859.0936801
21,3,7,1564565428.9126434,412614216689.3736,411044386332,9,2031,2031,113,1,6,11.390625,2,0,0,24522304336.77395,86503167261.02567,88058637299.39856,88058637299.39856,3328623407.7281194,5465896265.089695,2268136745.138647
