day,run,runDay,balance,totalLifetimeEarned,totalSpent,slots,redeemablePrestige,lifetimePrestige,claimedPrestige,cachePoints,cacheCoreLevel,cacheCoreMultiplier,prestigeCount,prestigeAward,vaultStored,focusIncome,backgroundIncome,vaultAccrued,vaultClaimed,dailyBonus,navigation,wake
1,1,1,102.20031220846249,17527.20031220846,17425,5,0,0,0,0,0,1,0,0,0,9851.505148343664,0,2592.537001704986,2592.537001704986,3988.668781124999,652.8081122003306,441.68126883448133
2,1,2,53.67072638533864,107603.67072638538,107550,5,1,1,0,0,0,1,0,0,0,52391.50116174423,5238.498954536575,9509.723911225596,9509.723911225596,12323.293841020311,5411.688858207028,5201.76368744312
3,1,3,1898.068843150555,382530.068843151,380632,6,1,1,0,0,0,1,0,0,0,132101.6764093587,28448.551367527118,24507.286989519085,24507.286989519085,57447.728958599415,16227.551067428969,16193.60332433182
4,1,4,233.83501014419016,1096191.8350101456,1095958,6,3,3,0,0,0,1,0,0,0,329820.78483078105,98040.22976657456,69639.18935064695,69639.18935064695,123576.2105779929,51730.54239488282,40854.809246115314
5,1,5,13833.730060963368,2643053.730060961,2629220,6,5,5,0,0,0,1,0,0,0,675511.1053627925,239632.58014218204,148142.24682118508,148142.24682118508,278921.63218493666,126530.48904573757,78123.84149398524
6,1,6,0,5515140.540003636,5491196,3,7,7,7,0,1,1.5,1,7,0,1150090.4186303294,473957.73931409186,282384.9111223207,282384.9111223207,573115.2231574897,261337.86946186778,131200.64825657354
7,2,1,142.76338153591496,5558557.303385179,5534470,5,7,7,7,0,1,1.5,1,0,0,26464.97854494217,608.1188489614349,5068.985760824549,5068.985760824549,7736.586219534374,1765.224059167715,1772.8699481056694
8,2,2,436.1904160280683,5814582.730419672,5790202,6,7,7,7,0,1,1.5,1,0,0,134080.0753331245,20713.447401439917,23367.15020313709,23367.15020313709,48935.50962353564,13745.057672185112,15184.186801069922
9,2,3,1558.0440567146288,6873242.584060365,6847740,6,8,8,7,0,1,1.5,1,0,0,522122.63383088517,154664.96300736963,99599.63326226221,99599.63326226221,145364.64668615052,71853.20458330707,65054.77227071193
10,2,4,18263.441717690555,10030285.981721355,9988078,6,10,10,7,0,1,1.5,1,0,0,1403669.9444842173,532322.4592532015,307472.20467582083,307472.20467582083,498256.3301513472,250283.55491232942,165038.90418405877
11,2,5,4201.094148281962,16348317.634151941,16320172,7,12,12,7,0,1,1.5,1,0,0,2341777.4419158315,1174156.5655919656,671966.5099269128,671966.5099269128,1356091.8024713984,477255.4768524985,296783.855671984
12,2,6,70389.72199501237,26750016.261998657,26655682,7,16,16,7,0,1,1.5,1,0,0,3719622.267322637,2196316.5579004353,1189144.8140826963,1189144.8140826963,1963227.266815469,868935.6136966898,464452.10802880285
13,2,7,6775.01312053483,44613087.55312433,44582368,7,21,21,7,0,1,1.5,1,0,0,5999495.733525046,3888169.013260956,1872125.0182661836,1872125.0182661836,3709757.1421662406,1666245.8525537255,727278.5313533621
14,2,8,0,70501626.6566677,70305427,3,26,26,26,0,2,2.25,2,19,0,8176277.42978134,5405117.442649383,3284185.3505136906,3284185.3505136906,5507468.813318181,2575908.309490891,939581.7577898684
15,3,1,292.5959951101031,70600719.25266278,70404227,5,26,26,26,0,2,2.25,2,0,0,64104.670081978795,4247.2828040698205,10356.915277215283,10356.915277215283,10437.94387125,5116.353638821052,4829.430321775148
16,3,2,2277.8697996352566,71915314.52646735,71716837,6,26,26,26,0,2,2.25,2,0,0,685612.2365859518,198140.32639058182,116197.29548283141,116197.29548283141,150896.72046466876,80250.94649395766,83497.74838653365
17,3,3,22313.120537356706,76323813.77720483,76105301,7,27,27,26,0,2,2.25,2,0,0,1856584.0703731456,810132.068775459,414628.4342749759,414628.4342749759,799625.6916324005,275855.45841272426,251673.52726901634
18,3,4,81930.67378490325,88035484.33045252,87757354,7,29,29,26,0,2,2.25,2,0,0,4651363.058125403,2594989.950889752,1260453.702437471,1260453.702437471,1735087.1683932147,868343.5323296644,601433.1410720423
19,3,5,22376.655449666083,113725082.31211716,113506506,7,33,33,26,0,2,2.25,2,0,0,9275822.497891212,5913109.246797639,2849649.9841159694,2849649.9841159694,4412976.8577975165,2102642.571746006,1135396.8233164202
20,3,6,431584.3435825482,161494007.00025007,160866223,7,40,40,26,0,2,2.25,2,0,0,15976393.825405208,11158503.353496153,5700687.176755301,5700687.176755301,8794577.558782218,4303526.255472006,1835236.5182219893
21,3,7,129079.13666134328,236331799.79332846,236006521,7,48,48,26,0,2,2.25,2,0,0,23330631.32184235,17479585.93719863,9609045.8646066,9609045.8646066,14298737.588971924,7478041.422836028,2641750.657623267
