day,balance,totalLifetimeEarned,totalSpent,slots,redeemablePrestige,vaultStored,focusIncome,backgroundIncome,vaultAccrued,vaultClaimed,dailyBonus,navigation,wake
1,77.19590000000017,4053.195900000001,3976,4,0,0,1243.5839999999998,33.13440000000001,1890,1890,752.4,134.07750000000001,0
2,18.915376754848694,12965.915376754854,12947,5,0,0,3744.109240704,309.67737531408,3307.392,3307.392,1042.62912,508.911740736768,0
3,153.25508411457122,26489.255084114564,26336,5,0,0,5120.793308563201,724.4841745686526,5184.639360000001,5184.639360000001,1836.5126836838404,632.6754585440258,24.234721999999994
4,293.4609258067994,49841.46092580682,49548,5,0,0,8896.943499698762,1743.8819674717347,8731.756800000003,8731.756800000003,2764.7913735107772,1118.746375225354,96.08582578559997
5,199.10912849457236,87731.10912849456,87532,5,0,0,15887.245273590035,3833.7770636647315,11731.072582656003,11731.072582656003,4281.0931664911,1954.660344684894,201.79977160100304
6,124.47744947540559,146801.47744947544,146677,5,0,0,25827.647821838178,6753.925913502211,16658.725317761437,16658.725317761437,6569.1615551261975,2928.248673316461,332.65903943634953
7,2184.9368738895137,230706.9368738897,228522,5,0,0,37282.2854770844,11457.935572028147,21685.8874752,21685.8874752,8482.969337856346,4425.89348688116,570.4880753640437
8,1284.773662746251,335057.77366274624,333773,6,0,0,42375.77529953062,16339.72761726859,28537.253717760013,28537.253717760013,11501.56467769568,4956.689547821057,639.825928780767
9,356.36022414499166,463654.3602241447,463298,6,0,0,51103.316894684685,21496.854262583543,35693.13451463883,35693.13451463883,13438.628250305303,5936.410968377976,928.2416708083905
10,3317.6860536429595,629320.686053642,626003,6,0,0,67632.59080843668,29955.995646160736,42459.13140690123,42459.13140690123,16650.756394902724,7776.330178891237,1191.5213942053413
11,751.6439832739125,850331.6439832723,849580,6,0,0,90512.86586412623,41542.12886935692,54603.16371986166,54603.16371986166,22156.777286472552,10579.772609824235,1616.249579989326
12,5823.407958741591,1121704.4079587397,1115881,6,1,0,112428.2566718226,55066.901227015136,62928.54831187864,62928.54831187864,25751.626984429637,13206.541513171855,1990.8892671498202
13,8673.738085936144,1460239.7380859354,1451566,6,1,0,140335.10313364392,72074.96960506467,74324.4758615025,74324.4758615025,32435.16623373748,16804.430620426683,2561.184672819312
14,2130.120523120888,1861261.1205231212,1859131,6,1,0,160019.65728830872,87802.69100706377,90919.46802258198,90919.46802258198,39583.82213951975,19728.649253555166,2967.094726155332
15,11905.412120385678,2361516.4121203856,2349611,6,1,0,204668.49872749415,110707.0515844173,108148.77852663939,108148.77852663939,48329.30263934166,24900.488342508943,3501.171776863291
16,13132.568917283206,2902748.5689172824,2889616,6,1,0,210445.43215931853,124916.80732451532,125608.36420593923,125608.36420593923,50398.19913679013,26153.77911151488,3709.5748588194397
17,18718.3080582564,3562411.308058258,3543693,6,1,0,265854.4765325603,155369.49927227554,141790.16946896448,141790.16946896448,59993.83863763624,31933.17500473829,4721.580224798497
18,2259.8194541649427,4355377.819454168,4353118,6,2,0,319913.50107935694,192455.80036523618,161074.66566116628,161074.66566116628,73857.80068448016,40093.278940406664,5571.464665262222
19,33961.56442640361,5221299.5644264165,5187338,6,2,0,343815.0844933318,215949.97042556375,185906.94005697366,185906.94005697366,74178.92155702137,40267.219413033155,5803.609026314815
20,28428.51040598168,6240370.5104059875,6211942,6,2,0,409054.70713768643,254820.96510216527,209774.71626683002,209774.71626683002,87910.05006688388,50114.3880628768,7396.119343135601
21,57127.69884646672,7325719.698846465,7268592,6,2,0,438309.8106621477,282950.8107028965,212278.13550803726,212278.13550803726,91538.7056678956,52764.6647662253,7507.061133282635
22,55165.18636449147,8641177.186364496,8586012,6,2,0,528765.3363779419,342354.9004087651,264754.9965621886,264754.9965621886,108479.25926617737,62375.574078051985,8727.42082490001
23,45687.38750875986,9991601.387508754,9945914,6,3,0,528765.3363779419,363181.920493964,275961.57616044855,275961.57616044855,108479.25926617737,65308.68802083671,8727.42082490001
24,12727.432811665232,11485584.432811651,11472857,6,3,0,600707.2117217575,422372.2582418609,275961.57616044855,275961.57616044855,112282.50305777772,72412.85759701181,10246.638524049273
25,101465.29358530138,13184002.293585286,13082537,6,3,0,680790.0252110402,457247.0318581613,338052.9307965495,338052.9307965495,132493.35360817765,78391.90088483847,11442.618414868904
26,13386.892682058387,14928656.892682053,14915270,6,3,0,680790.0252110402,479474.31812904414,358750.0490085831,358750.0490085831,132493.35360817765,81704.23472504289,11442.618414868904
27,27445.002022331464,16984210.002022326,16956765,6,4,0,819615.991162859,610124.5904365312,358750.0490085831,358750.0490085831,156342.15725764967,97218.03174510441,13502.289729545306
28,17732.822451773565,19164058.822451774,19146326,6,4,0,870209.0707794651,622246.2710412306,412562.5563598706,412562.5563598706,161576.9773844852,99639.13605376585,13614.80881062485
29,165.43075551115908,21604979.43075553,21604814,7,4,0,978127.4716718292,696915.8235661783,466375.063711158,466375.063711158,171271.59602755427,111595.83238021776,16634.820946799817
30,99383.32144336333,24136907.32144338,24037524,7,4,0,924254.1353638573,800719.195073657,492131.7598140189,492131.7598140189,192384.2646579914,104123.51938110139,18315.0163972263
